Rank,Link,Title,Score,Description,Year Premiered,Episodes,Popularity,Genre,Status,Source,Rating,Aired,neg,neu,pos,compound
244.0,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33,"A reunion that was supposed to spell the arrival of peaceful times is quickly shattered when Subaru Natsuki and Emilia return to Irlam village. Witnessing the devastation left behind by the calamities known as Sin Archbishops, Subaru sinks into the depths of despair as his ability to redo proves futile.As the group makes their way to the Sanctuary in search of answers, Subaru has an unexpected encounter with the Witch of Greed—Echidna. Subjected to her untamed rhythm, he is forced to dive into the spirals of the past and future. At the same time, several mysterious threats set their sights on the Sanctuary, heralding a horrific fate for the hapless people trapped within.Everlasting contracts, past sins, and unrequited love will clash and submerge into a river of blood in the second season ofRe:Zero kara Hajimeru Isekai Seikatsu. Pushed to the brink of hopelessness, how long will Subaru's resolve to save his loved ones last?[Written by MAL Rewrite]",2020.0,13,135,"Drama, Fantasy, Suspense",Finished Airing,Light novel,R - 17+ (violence & profanity),"Jul 8, 2020 to Sep 30, 2020",0.194,0.705,0.101,-0.9517
245.0,https://myanimelist.net/anime/37822/Douluo_Dalu_2nd_Season,Douluo Dalu 2nd Season,8.33,Second season ofDouluo Dalu.,,237,4895,"Action, Adventure, Fantasy, Supernatural",Finished Airing,Novel,PG-13 - Teens 13 or older,"Dec 1, 2018 to Jun 10, 2023",0.0,1.0,0.0,0.0
246.0,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2,Dr. Stone: New World Part 2,8.33,"Years ago, astronaut Byakuya left behind precious materials in the belief that his son, the scientifically-gifted Senkuu, would one day find them. In the present, the Kingdom of Science's Kohaku and Ginrou have infiltrated the harem of the Petrification Kingdom’s leader with the help of Amaryllis, a local girl. At first, their mission progresses without a hitch. Unfortunately, an error enacted by Kohaku and Ginrou leads Minister Ibara and the Island’s strongest warrior, Moz, to identify the intruding duo as enemies.Even worse, Moz tails Amaryllis when she returns to inform Senkuu of the news, discovering the scientist's secret hideout. However, Moz's agenda does not align with Ibara's—he wants to dethrone the minister and keep the petrification device for himself. If Senkuu plays his cards right, he could gain a powerful ally and win the war once and for all.[Written by MAL Rewrite]",2023.0,11,856,"Adventure, Comedy, Sci-Fi",Finished Airing,Manga,PG-13 - Teens 13 or older,"Oct 12, 2023 to Dec 21, 2023",0.074,0.781,0.145,0.9088
247.0,https://myanimelist.net/anime/31988/Hibike_Euphonium_2,Hibike! Euphonium 2,8.33,"Following their success in the qualifying round for the Kansai regional competition, the members of the Kitauji High School concert band set their sights on the next upcoming performance. Utilizing their summer break to the utmost, the band participates in a camp where they are instructed by their band advisor Noboru Taki and his friends who make their living as professional musicians.Kumiko Oumae and her friends remain determined to attain gold at the Kansai competition, but trouble arises when a student who once quit the band shows interest in rejoining and sparks unpleasant memories for the second-year members. Kumiko also learns about her teacher's surprising past and the motivation behind his desire to lead the band to victory. Reaching nationals will require hard work, and the adamant conviction in each student's commitment to the band will be put to the test.[Written by MAL Rewrite]",2016.0,13,1043,,Finished Airing,Novel,PG-13 - Teens 13 or older,"Oct 6, 2016 to Dec 29, 2016",0.056,0.78,0.164,0.9408
248.0,https://myanimelist.net/anime/5081/Bakemonogatari,Bakemonogatari,8.32,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa.When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament.Through several tales involving demons and gods,Bakemonogatarifollows Araragi as he attempts to help those who suffer from supernatural maladies.[Written by MAL Rewrite]",2009.0,15,93,"Mystery, Romance, Supernatural",Finished Airing,Light novel,R - 17+ (violence & profanity),"Jul 3, 2009 to Jun 25, 2010",0.072,0.787,0.141,0.8429
249.0,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,"In the midst of the Fifth Holy Grail War, Caster sets her plans into motion, beginning with the capture of Shirou's Servant Saber. With the witch growing ever more powerful, Rin and Archer determine she is a threat that must be dealt with at once. But as the balance of power in the war begins to shift, the Master and Servant find themselves walking separate ways.Meanwhile, despite losing his Servant and stumbling from injuries, Shirou ignores Rin's warning to abandon the battle royale, forcing his way into the fight against Caster. Determined to show his resolve in his will to fight, Shirou's potential to become a protector of the people is put to the test.Amidst the bloodshed and chaos, the motivations of each Master and Servant are slowly revealed as they sacrifice everything in order to arise as the victor and claim the Holy Grail.[Written by MAL Rewrite]",2015.0,13,211,"Action, Fantasy, Supernatural",Finished Airing,Visual novel,R - 17+ (violence & profanity),"Apr 5, 2015 to Jun 28, 2015",0.204,0.725,0.071,-0.9775
250.0,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.32,"The nation of Tempest is in a festive mood after successfully overcoming the surprise attack from the Falmuth Army and the Western Holy Church. Beyond the festivities lies a meeting between Tempest and its allies to decide the future of the Nation of Monsters. The aftermath of the Falmuth invasion, Milim Nava's suspicious behavior, and the disappearance of Demon Lord Carrion—the problems seem to keep on piling up.Rimuru Tempest, now awakened as a True Demon Lord, decides to go on the offensive against Clayman. With the fully revived Storm Dragon Veldora, Ultimate Skill Raphael, and other powerful comrades, the ruler of the Tempest is confident in taking down his enemies one by one until he can face the man pulling the strings.[Written by MAL Rewrite]",2021.0,12,250,"Action, Adventure, Comedy, Fantasy",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jul 6, 2021 to Sep 21, 2021",0.118,0.744,0.138,0.4404
251.0,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199,Uchuu Senkan Yamato 2199,8.32,"Earth's once green hills and rich blue oceans have been converted into a desolate wasteland by the relentless onslaught of planet bombs from the expansionist Gamilas Empire. By the year 2199, humankind has retreated to the depths of underground cities to escape the radiation.However, all hope is not lost, as the distant planet Iscandar offers Earth its final salvation: the Cosmo Reverse System, capable of restoring Earth's irradiated surface. In a desperate bid to retrieve this technology from Iscandar, the Earth Defense Force pours its remaining resources into the Yamato—an innovative, state-of-the-art battleship equipped with an infinite energy Wave Motion Engine.From young talent such as Tactical Officer Susumu Kodai to accomplished veterans like Captain Juuzou Okita, the Yamato's crew consists of many individuals, all varying in their experience on the battlefield. But despite their differences, one goal unifies them all: to complete their perilous 168,000 light-year voyage to Iscandar and save humanity from imminent doom.[Written by MAL Rewrite]",,26,1902,"Action, Drama, Sci-Fi",Finished Airing,Original,PG-13 - Teens 13 or older,"May 25, 2012 to Oct 25, 2013",0.027,0.819,0.155,0.9406
252.0,https://myanimelist.net/anime/7655/Major_S6,Major S6,8.32,"The intense Baseball World Cup has reached its conclusion. Gorou Honda has regained his passion for baseball and is once again back in full gear. He has secured a team position with the Hornets and has travelled back to America to prepare for his spectacular debut as a Major League pitcher.However, Gorou encounters a sudden series of unexpected issues and devastating events follow, crushing his motivation and potentially reducing the baseball career that he has worked tirelessly to maintain into crumbs. In the final season ofMajor, Gorou must yet again overcome immense hardship in order to save his baseball career. This time there is no simple solution, as the problem is deeply rooted within his own mind...[Written by MAL Rewrite]",2010.0,25,2809,,Finished Airing,Manga,PG-13 - Teens 13 or older,"Apr 3, 2010 to Sep 25, 2010",0.103,0.776,0.12,0.0772
253.0,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora,Romeo no Aoi Sora,8.32,"Romeo is a kindhearted and courageous boy living with his family in a small village in Switzerland. Unfortunately, Romeo becomes the interest of a man named Luini, known as ""The God of Death,"" who is infamous for buying children and selling them as chimney sweeps in Milan. While visiting the village, Luini burns down Romeo's family cornfield in an attempt to have Romeo as his own. With the cornfield gone and his father sustaining a head injury trying to put out the fire, Romeo bravely sells himself to the God of Death in order to help his family afford a doctor.On his way to Milan, Romeo meets a boy named Alfredo Martini and they quickly become friends. Just as Alfredo is sold to a different master, the two boys swear eternal friendship and vow to meet again. As a chimney sweep, Romeo faces many hardships and abuse, especially from his master's family and a gang known as the Wolf Pack. But after reuniting with Alfredo, the two form a fraternity of chimney sweeps called ""The Black Brothers,"" who will learn to fight against the Wolf Pack and help each other in times of need.[Written by MAL Rewrite]",1995.0,33,3144,"Adventure, Drama",Finished Airing,Novel,PG-13 - Teens 13 or older,"Jan 15, 1995 to Dec 17, 1995",0.073,0.835,0.092,0.4588
254.0,https://myanimelist.net/anime/17389/Kingdom_2nd_Season,Kingdom 2nd Season,8.31,"A year after the devastating battle against the formidable Zhao, the State of Qin has returned its focus to pursuing King Ying Zheng's ambition of conquering the other six states and unifying China. Their next target is Wei, a smaller state which stands as a geographic stepping stone for the sake of conquest.Xin, now a three hundred man commander of the swiftly rising Fei Xin Unit, continues to seek out lofty achievements in order to garner recognition for himself and his soldiers, motivated by those previously lost in battle. In the preliminary battles ahead of Qin's invasion of Wei, Xin finds competition in other young commanders who are of a higher social status than him. Back in Qin, the royal palace faces turmoil as opposing factions begin to make their move against Ying Zheng's regime.With their hands full both abroad and at home, Zheng and Xin must lead the way in this era of unending war, resolved to etch their names in history by creating a unified China.[Written by MAL Rewrite]",2013.0,39,1755,,Finished Airing,Manga,R - 17+ (violence & profanity),"Jun 8, 2013 to Mar 2, 2014",0.112,0.825,0.063,-0.8779
255.0,https://myanimelist.net/anime/4081/Natsume_Yuujinchou,Natsume Yuujinchou,8.31,"Due to an unusual ability to see strange creatures called youkai, Takashi Natsume has never fit in. Passed around from one foster home to another, he was left isolated and lonely. Over time, he has accepted that no one would ever believe him and has closed himself off to his current caretakers and classmates.When Natsume accidentally breaks an intangible barrier, he frees Madara—a mighty spirit in the form of a lucky cat. Madara notices that Natsume bears a remarkable resemblance to his late grandmother Reiko Natsume, an outcast girl who became known across the youkai world for creating the Book of Friends. It is now in Natsume's possession, along with its power to call upon the written names of the youkai Reiko had defeated.With no interest in its powers, Natsume decides to keep the book for the sake of his grandmother's memories and to protect it from scheming youkai. Therefore, he makes a deal with Madara: he will hand him the book once his time is up, and in turn, Madara will act as Natsume's unofficial bodyguard, nicknamed Nyanko-sensei. With his newfound goal of freeing those Reiko had sealed, Natsume's relationship with both youkai and humans slowly begins to improve.[Written by MAL Rewrite]",2008.0,13,415,"Slice of Life, Supernatural",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jul 8, 2008 to Sep 30, 2008",0.074,0.786,0.139,0.9422
256.0,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials,Natsume Yuujinchou Go Specials,8.31,"One Night Sake CupOn his way back home from an errand, Takashi Natsume gets lost in the forest. Luckily, he is rescued by a traveling youkai couple who make sake cups for a living. Taking a sip of water from one, Natsume feels a surge of energy rush throughout his body, thanks to the ""One Night Cup."" It is a special cup that makes every drink delicious, but unfortunately, its effects last only for one night. The following day, Natsume attends the youkai banquet with his loyal protector, the sake-loving chubby cat Madara, and gets the once-in-a-lifetime opportunity to learn how to make sake cups.Party of Fun & GamesNatsume is filled with regret after hastily declining a rare invitation to a banquet from Madara. Curious, he chases after the cat to an old, run-down mansion but soon enough feels the uncanny presence of numerous youkai nearby. When he runs into the seductive youkai Hinoe, she explains that the empty estate serves as a hide-and-seek playground where the winning spirit acquires authority over a valley. With still no trace of Madara, Natsume starts having eerie dreams of the mansion, but this time as the game's participant.[Written by MAL Rewrite]",,2,3286,"Slice of Life, Supernatural",Finished Airing,Manga,PG-13 - Teens 13 or older,"Mar 30, 2017 to Apr 26, 2017",0.074,0.739,0.187,0.974
257.0,https://myanimelist.net/anime/1210/NHK_ni_Youkoso,NHK ni Youkoso!,8.31,"Twenty-two-year-old college dropout Tatsuhiro Satou has been a hikikomori for almost four years now. In his isolation, he has come to believe in many obscure conspiracy theories, but there is one in particular which he holds unshakable faith in: the theory that the evil conspirator behind his shut-in NEET (Not in Employment, Education or Training) status is the Nihon Hikikomori Kyokai (NHK)—an evil and secret organization dedicated to fostering the spread of hikikomori culture.NHK ni Youkoso!is a psychological dramedy that follows Tatsuhiro as he strives to escape from the NHK's wicked machinations and the disease of self-wrought isolation, while struggling to even just leave his apartment and find a job. His unexpected encounter with the mysterious Misaki Nakahara might signal a reversal of fortune for Tatsuhiro, but with this meeting comes the inevitable cost of having to face his greatest fear—society.[Written by MAL Rewrite]",2006.0,24,265,"Comedy, Drama, Romance, Suspense",Finished Airing,Novel,R+ - Mild Nudity,"Jul 10, 2006 to Dec 18, 2006",0.171,0.739,0.09,-0.9342
258.0,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II,Ookami to Koushinryou II,8.31,"Traveling merchant Kraft Lawrence continues his northward journey with wolf goddess Holo, in search of her lost home of Yoitsu. Lawrence and his sharp-witted partner continue to make some small profits along the way, while slowly uncovering more information about Holo's hometown. However, the road to Yoitsu is a bumpy one filled with many troubles—Lawrence runs into a charming young fellow merchant who has his eyes set on the female wolf companion, and he begins to doubt if Holo will remain by his side; he and the goddess will also have to consider precarious and risky business deals as Lawrence strives to achieve his dream of becoming a shopowner. All the while, with his determination tested at every turn during his journey, Lawrence must question his relationship with Holo, take on business ventures, and ask himself whether it is time for him and Holo to go their separate ways.[Written by MAL Rewrite]",2009.0,12,456,"Adventure, Drama, Fantasy, Romance",Finished Airing,Light novel,PG-13 - Teens 13 or older,"Jul 9, 2009 to Sep 24, 2009",0.041,0.887,0.071,0.7003
259.0,https://myanimelist.net/anime/51440/Sasaki_to_Miyano_Movie__Sotsugyou-hen,Sasaki to Miyano Movie: Sotsugyou-hen,8.31,"With university entrance exams and graduation drawing close, high school senior Shuumei Sasaki has to start taking his future more seriously. However, Sasaki is increasingly finding it hard to study; all he can think about is his boyfriend and junior, Yoshikazu Miyano. Having only recently made their relationship official, Sasaki cannot help but yearn to hold his boyfriend close. But with Sasaki's graduation on their minds, the couple begins to wonder what lies ahead for them both—especially as a public relationship can garner scrutiny from friends and family.[Written by MAL Rewrite]",,1,3341,,Finished Airing,Manga,PG-13 - Teens 13 or older,"Feb 17, 2023",0.083,0.875,0.043,-0.2205
260.0,https://myanimelist.net/anime/54870/Seishun_Buta_Yarou_wa_Randoseru_Girl_no_Yume_wo_Minai,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,8.31,"Finally, the day of Mai's high school graduation has arrived. While Sakuta eagerly waits for his girlfriend, an elementary schooler who looks exactly like her appears before him. Suspicious, and for all the wrong reasons... Meanwhile, Sakuta and Kaede's father suddenly calls, saying that their mother wants to see her daughter. She was hospitalized because Kaede's condition had been too much for her to bear, so what could she possibly want now?(Source: Yen Press)",,1,2231,"Drama, Romance, Supernatural",Finished Airing,Light novel,PG-13 - Teens 13 or older,"Dec 1, 2023",0.069,0.852,0.079,-0.0516
261.0,https://myanimelist.net/anime/42886/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Gekitotsu,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.31,"As Yang is ordered to appear before the Free Planet Alliance, he’s shaken by the corruption he discovers. Meanwhile, Marshal Reinhardt uncovers disloyalty under his command as an upstart admiral launches a vicious offensive to retake the Iserlohn Fortress. Struggling to make strides in this never-ending bloody war, these two finally see their true enemy lies not from without—but from within!(Source: Crunchyroll)",,12,4774,"Drama, Sci-Fi",Finished Airing,Novel,R - 17+ (violence & profanity),"Mar 4, 2022 to May 13, 2022",0.282,0.614,0.103,-0.9273
262.0,https://myanimelist.net/anime/39533/Given,Given,8.31,"Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji.Satou's voice is strikingly beautiful, filling Uenoyama with the determination to make Satou the lead singer of the band. Though reticent at first, Satou takes the offer after an emotional meeting with an old friend. With the support of his new friends, Satou must not only learn how to play guitar, but also come to terms with the mysterious circumstances that led him to be its owner.[Written by MAL Rewrite]",2019.0,11,383,"Boys Love, Drama",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jul 12, 2019 to Sep 20, 2019",0.0,0.896,0.104,0.8979
263.0,https://myanimelist.net/anime/137/Hunter_x_Hunter__Original_Video_Animation,Hunter x Hunter: Original Video Animation,8.31,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro.",,8,1766,"Action, Adventure, Fantasy",Finished Airing,Manga,PG-13 - Teens 13 or older,"Jan 17, 2002 to Apr 17, 2002",0.157,0.697,0.147,-0.2732
264.0,https://myanimelist.net/anime/53672/Violet_Evergarden__Recollections,Violet Evergarden: Recollections,8.3,Recap ofViolet Evergarden.,,1,3953,"Drama, Fantasy",Finished Airing,Light novel,PG-13 - Teens 13 or older,"Oct 29, 2021",0.0,1.0,0.0,0.0
265.0,https://myanimelist.net/anime/6594/Katanagatari,Katanagatari,8.3,"In an Edo-era Japan lush with a variety of sword-fighting styles, Shichika Yasuri practices the most unique one: Kyotouryuu, a technique in which the user's own body is wielded as a blade. The enigmatic seventh head of the Kyotouryuu school, Shichika lives quietly in exile with his sister Nanami until one day—the wildly ambitious strategist Togame barges into their lives.Togame brazenly requests that Shichika help in her mission to collect twelve unique swords, known as the ""Deviant Blades,"" for the shogunate. Shichika accepts, interested in the girl herself rather than petty politics, and thus sets out on a journey. Standing in their way are the fierce wielders of these legendary weapons as well as other power-hungry entities who seek to thwart Togame's objective. In order to prevail against their enemies, the duo must become an unbreakable team as they forge ahead on a path of uncertainty and peril.[Written by MAL Rewrite]",2010.0,12,393,"Action, Adventure, Romance",Finished Airing,Light novel,R - 17+ (violence & profanity),"Jan 26, 2010 to Dec 11, 2010",0.064,0.855,0.081,0.3818
266.0,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin,Kemono no Souja Erin,8.3,"In the land of Ryoza, the neighboring provinces of Shin-Ou and Tai-Kou have been at peace. Queen Shinou is the ruler of Ryoza and her greatest general, Grand Duke Taikou, defends the kingdom with his army of powerful war-lizards known as the ""Touda."" Although the two regions have enjoyed a long-standing alliance, mounting tensions threaten to spark a fierce civil war.Within Ake, a village in Tai-Kou tasked with raising the Grand Duke's army, lives Erin, a bright girl who spends her days watching the work of her mother Soyon, the village's head Touda doctor. But while under Soyon's care, a disastrous incident befalls the Grand Duke's strongest Touda, and the peace that Erin and her mother had been enjoying vanishes as Soyon is punished severely. In a desperate attempt to save her mother, Erin ends up falling in a river and is swept towards Shin-Ou.Unable to return home, Erin must learn to lead a new life with completely different people, all while hunting for the truth of both beasts and humanity itself, with tensions between the two regions constantly escalating.[Written by MAL Rewrite]",2009.0,50,2310,"Drama, Fantasy",Finished Airing,Novel,PG-13 - Teens 13 or older,"Jan 10, 2009 to Dec 26, 2009",0.114,0.683,0.203,0.9562
267.0,https://myanimelist.net/anime/40211/Luo_Xiao_Hei_Zhan_Ji_Movie,Luo Xiao Hei Zhan Ji (Movie),8.3,"Luo Xiaohei is a young monster who normally takes the form of a small black cat. Living freely in the forests, gradual deforestation and human development force him to flee and find a new home. Wandering the city streets, the black cat struggles to survive until he encounters Feng Xi, a fellow monster who takes Xiaohei to an isolated island inhabited by a small group of monsters. Excited to find what he thinks is his new home, Xiaohei lives with the monsters for only a short time before Wuxian, a human Guild Executor, arrives on the island in pursuit of Feng Xi.Feng Xi and his companions manage to teleport off the island, leaving Xiaohei and Wuxian alone. Though Xiaohei refuses to cooperate with the man who attacked his friends, Wuxian forces the black cat to travel to the Guild along with him. Embarking on an uncertain journey, Xiaohei is exposed to a new perspective on the relations between humans and monsters in a rapidly changing world.[Written by MAL Rewrite]",,1,4312,"Adventure, Drama, Fantasy",Finished Airing,Original,G - All Ages,"Sep 7, 2019",0.077,0.874,0.049,-0.4404
268.0,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon,Sakamichi no Apollon,8.3,"Introverted classical pianist and top student Kaoru Nishimi has just arrived in Kyushu for his first year of high school. Having constantly moved from place to place since his childhood, he abandons all hope of fitting in, preparing himself for another lonely, meaningless year. That is, until he encounters the notorious delinquent Sentarou Kawabuchi.Sentarou's immeasurable love for jazz music inspires Kaoru to learn more about the genre, and as a result, he slowly starts to break out of his shell, making his very first friend. Kaoru begins playing the piano at after-school jazz sessions, located in the basement of fellow student Ritsuko Mukae's family-owned record shop. As he discovers the immense joy of using his musical talents to bring enjoyment to himself and others, Kaoru's summer might just crescendo into one that he will remember forever.Sakamichi no Apollonis a heartwarming story of friendship, music, and love that follows three unique individuals brought together by their mutual appreciation for jazz.[Written by MAL Rewrite]",2012.0,12,606,"Drama, Romance",Finished Airing,Manga,PG-13 - Teens 13 or older,"Apr 13, 2012 to Jun 29, 2012",0.065,0.725,0.209,0.9821
269.0,https://myanimelist.net/anime/41457/86,86,8.3,"According to the Republic of San Magnolia, their ongoing war against the Giadian Empire has no casualties—however, that is mere propaganda. While the silver-haired Alba of the Republic's eighty-five sectors live safely behind protective walls, those of different appearances are interned in a secret eighty-sixth faction. Known within the military as the Eighty-Six, they are forced to fight against the Empire's autonomous Legion under the command of the Republican ""Handlers.""Vladilena Milizé is assigned to the Spearhead squadron to replace their previous Handler. Shunned by her peers for being a fellow Eighty-Six supporter, she continues to fight against their inhumane discrimination. Shinei Nouzen is the captain of the Spearhead squadron. Infamous for being the sole survivor of every squadron he's been in, he insists on shouldering the names and wishes of his fallen comrades. When the fates of these young souls from two different worlds collide, will it ignite the spark that lights their path to salvation, or will they burn themselves in the flames of despair?[Written by MAL Rewrite]",2021.0,11,242,"Action, Drama, Sci-Fi",Finished Airing,Light novel,R - 17+ (violence & profanity),"Apr 11, 2021 to Jun 20, 2021",0.108,0.831,0.061,-0.8316
270.0,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.3,"Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago.At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on—but themselves as well?[Written by MAL Rewrite]",2011.0,11,66,"Drama, Supernatural",Finished Airing,Original,PG-13 - Teens 13 or older,"Apr 15, 2011 to Jun 24, 2011",0.16,0.671,0.169,-0.0688
271.0,https://myanimelist.net/anime/2402/Ashita_no_Joe,Ashita no Joe,8.3,"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills.One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Joe dismisses Danpei as a hopeless drunk; but after the trainer saves his life, he agrees to live with him and learn the art of boxing. Unfortunately, Joe's personality makes him an unruly student, and he often falls back to his old ways.To survive the harsh world of his new career, Joe needs to trust his mentor and master the techniques taught to him. However, the road to becoming a professional boxer is rife with struggles that will test his mettle to the end.[Written by MAL Rewrite]",1970.0,79,2206,"Drama, Sports",Finished Airing,Manga,PG-13 - Teens 13 or older,"Apr 1, 1970 to Sep 29, 1971",0.126,0.815,0.06,-0.8422
272.0,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,Boku dake ga Inai Machi,8.3,"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives.However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right.Boku dake ga Inai Machifollows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present.[Written by MAL Rewrite]",2016.0,12,28,"Mystery, Supernatural, Suspense",Finished Airing,Manga,R - 17+ (violence & profanity),"Jan 8, 2016 to Mar 25, 2016",0.193,0.712,0.095,-0.967
273.0,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season,Diamond no Ace: Second Season,8.3,"After the National Tournament, the Seidou High baseball team moves forward with uncertainty as the Fall season quickly approaches. In an attempt to build a stronger team centered around their new captain, fresh faces join the starting roster for the very first time. Previous losses weigh heavily on the minds of the veteran players as they continue their rigorous training, preparing for what will inevitably be their toughest season yet.Rivals both new and old stand in their path as Seidou once again climbs their way toward the top, one game at a time. Needed now more than ever before, Furuya and Eijun must be determined to pitch with all their skill and strength in order to lead their team to victory. And this time, one of these young pitchers may finally claim that coveted title: ""The Ace of Seidou.""[Written by MAL Rewrite]",2015.0,51,1652,,Finished Airing,Manga,PG-13 - Teens 13 or older,"Apr 6, 2015 to Mar 28, 2016",0.056,0.85,0.095,0.7184
274.0,https://myanimelist.net/anime/3784/Evangelion_Movie_2__Ha,Evangelion Movie 2: Ha,8.3,"When the threat of the Angel menace escalates, mankind's defense force is pushed to its limits, with NERV at the forefront of the struggle. Shinji Ikari and his partner Rei Ayanami are assisted by two new pilots: the fiery Asuka Langley Shikinami and the mysterious Mari Illustrious Makinami.With the aid of their mechanized Evangelion units, equipped with weapons perfect for engaging their monstrous opponents, the four young souls fight desperately to protect their loved ones and prevent an impending apocalypse. But when startling secrets are brought to light, will the heroes' greatest challenge prove to be the monsters...or humanity itself?[Written by MAL Rewrite]",,1,410,"Action, Drama, Sci-Fi, Suspense",Finished Airing,Original,R+ - Mild Nudity,"Jul 27, 2009",0.107,0.699,0.193,0.8898
275.0,https://myanimelist.net/anime/51805/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Sakubou,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.3,"After Yang Wen-li successfully captures the Iserlohn Fortress, the Free Planets Alliance grows bolder in its militaristic ambitions. With recent incursions into Galactic Empire territory and the possession of a perfect beachhead, the Alliance is now able to deal significant damage to the Empire. However, Reinhard von Lohengramm has no intention of allowing the Free Planets Alliance to gain a foothold. He is adamant about carrying on his best friend Siegfried Kircheis' dearest wish: to be the one to unite the universe.As wide-scale military clashes continue, the opportunist Adrian Rubinsky, Fezzan's ambitious leader, attempts to take advantage of the war to further his personal goals.[Written by MAL Rewrite]",,12,5544,"Drama, Sci-Fi",Finished Airing,Novel,R - 17+ (violence & profanity),"Sep 30, 2022 to Nov 25, 2022",0.067,0.639,0.294,0.9828
